PathName_Image,"size, micrometer",Group,Sample
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\5\islet 9.lsm,0.3459440920682663,60_days,5
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\6 (2017) with DAPI\10.lsm,0.3218801367750007,60_days,6 (2017) with DAPI
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\6 (2017) with DAPI\16.lsm,0.2641266440711619,60_days,6 (2017) with DAPI
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\6 (2017) with DAPI\21.lsm,0.3459440920682663,60_days,6 (2017) with DAPI
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\6 (2017) with DAPI\24.lsm,0.33631850995096,60_days,6 (2017) with DAPI
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\6 (2017) with DAPI\26.lsm,0.33631850995096,60_days,6 (2017) with DAPI
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\6 (2017) with DAPI\29.lsm,0.33631850995096,60_days,6 (2017) with DAPI
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\6 (2017) with DAPI\30.lsm,0.33631850995096,60_days,6 (2017) with DAPI
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\6 (2017) with DAPI\5.lsm,0.3459440920682663,60_days,6 (2017) with DAPI
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\6 (2017) with DAPI\Mask\1.lsm,0.3459440920682663,6 (2017) with DAPI,Mask
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\6 (2017) with DAPI\Mask\11.lsm,0.3459440920682663,6 (2017) with DAPI,Mask
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\6 (2017) with DAPI\Mask\12.lsm,0.3459440920682663,6 (2017) with DAPI,Mask
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\6 (2017) with DAPI\Mask\14.lsm,0.3459440920682663,6 (2017) with DAPI,Mask
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\6 (2017) with DAPI\Mask\19.lsm,0.3459440920682663,6 (2017) with DAPI,Mask
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\6 (2017) with DAPI\Mask\20.lsm,0.3459440920682663,6 (2017) with DAPI,Mask
